"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Thalassiosira oceanica str. CCMP1005 (GCA_000296195.2)","Stramenopiles","159749","ThaOc_1.0","GCA_000296195.2","-","-","-","-","","-"
"","Thalassiosira pseudonana","Stramenopiles","296543","ASM14940v2","GCA_000149405.2","-","-","-","","","-"
"","Thecamonas trahens ATCC 50062 (GCA_000142905.1)","Eukaryota","461836","TheTra_May2010","GCA_000142905.1","-","-","-","-","",""
"","Theileria equi strain WA (GCA_000342415.1)","Alveolata","1537102","JCVI-bewag-v1.1","GCA_000342415.1","-","-","-","-","","-"
"","Theileria orientalis str. Fish Creek (GCA_003072545.1)","Alveolata","68886","ASM307254v1","GCA_003072545.1","-","-","-","-","-","-"
"","Theileria orientalis str. Goon Nure (GCA_003072535.1)","Alveolata","68886","ASM307253v1","GCA_003072535.1","-","-","-","-","-","-"
"","Theileria orientalis str. Robertson (GCA_003072525.1)","Alveolata","68886","ASM307252v1","GCA_003072525.1","-","-","-","-","-","-"
"","Theileria orientalis strain Shintoku (GCA_000740895.1)","Alveolata","869250","ASM74089v1","GCA_000740895.1","-","-","-","-","","-"
"","Theileria parva str. Muguga (GCA_000165365.1)","Alveolata","5875","ASM16536v1","GCA_000165365.1","-","-","-","-","","-"
"","Thraustotheca clavata str. ATCC 34112 (GCA_002081575.1)","Stramenopiles","74557","Thrcla_v1","GCA_002081575.1","-","-","-","-","","-"
"","Tieghemostelium lacteum str. TK (GCA_001606155.1)","Amoebozoa","361077","ASM160615v1","GCA_001606155.1","-","-","-","-","","-"
"","Toxoplasma gondii ARI (GCA_000250965.2)","Alveolata","1074872","TGARI_v2","GCA_000250965.2","-","-","-","-","-","-"
"","Toxoplasma gondii CAST (GCA_000256705.2)","Alveolata","943122","TGCAST_v2","GCA_000256705.2","-","-","-","-","-","-"
"","Toxoplasma gondii COUG (GCA_000338675.2)","Alveolata","1074873","TGCOUG_v2","GCA_000338675.2","-","-","-","-","-","-"
"","Toxoplasma gondii FOU (GCA_000224905.2)","Alveolata","943167","TGFOU1v02","GCA_000224905.2","-","-","-","-","-","-"
"","Toxoplasma gondii GAB2-2007-GAL-DOM2 (GCA_000325525.2)","Alveolata","1130820","TGGABGALDOM2_v2.1","GCA_000325525.2","-","-","-","-","-","-"
"","Toxoplasma gondii GT1 (GCA_000149715.2)","Alveolata","507601","TGGT1","GCA_000149715.2","-","-","-","-","-","-"
"","Toxoplasma gondii MAS (GCA_000224865.2)","Alveolata","943118","TGMAS1_v2","GCA_000224865.2","-","-","-","-","-","-"
"","Toxoplasma gondii ME49","Alveolata","508771","TGA4","GCA_000006565.2","-","-","-","-","","-"
"","Toxoplasma gondii RUB (GCA_000224805.2)","Alveolata","935652","TGRUB_v2","GCA_000224805.2","-","-","-","-","-","-"
